"Total","BeforeLD1","DuringLD1","AfterLD1","DuringLD2","AfterLD2","DuringLD3","AfterLD3","since first vaccine"
2225,1725,1548,2111.5,2779,2490.5,2898,2531,2573.5
1866.71518987342,1401.68292682927,1306.67961165049,1833.41129032258,2145.55555555556,2034.72222222222,2307.47422680412,2036.17701863354,2067.61830357143
