"","Total","Before","During","After","During","After","During Tier-4","During","since first vaccine"
"Median",2693,2297,2269,2899.5,2958,2616,2913,2989,2838
"Mean",2145.96929824561,1875.70731707317,1908.32038834951,2389.4435483871,2273.74074074074,2136.55555555556,2275.06862745098,2446.82558139535,2247.42105263158
