"","Total","Before","During","After","During","After","During Tier-4","During","After","since first vaccine"
"Median",2692,2280,2258,2891.5,2948,2609,2908,2993,2769.5,2831
"Mean",2145.20781893004,1862.09756097561,1899.5145631068,2380.38709677419,2266.48148148148,2130.5,2269.06818181818,2386.52577319588,2402.55555555556,2247.22916666667
