"date","ni","day"
2020-07-30,3192,"Thu"
2020-07-31,2480,"Fri"
2020-08-01,498,"Sat"
2020-08-02,2021,"Sun"
2020-08-03,2421,"Mon"
2020-08-04,3014,"Tue"
2020-08-05,3329,"Wed"
2020-08-06,2808,"Thu"
2020-08-07,2529,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3388,"Mon"
2020-08-11,3135,"Tue"
2020-08-12,2811,"Wed"
2020-08-13,2889,"Thu"
2020-08-14,2758,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1635,"Sun"
2020-08-17,3216,"Mon"
2020-08-18,3227,"Tue"
2020-08-19,3118,"Wed"
2020-08-20,2820,"Thu"
2020-08-21,2928,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3758,"Mon"
2020-08-25,3189,"Tue"
2020-08-26,2903,"Wed"
2020-08-27,2856,"Thu"
2020-08-28,2651,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3431,"Mon"
2020-09-01,2806,"Tue"
2020-09-02,2815,"Wed"
2020-09-03,3150,"Thu"
2020-09-04,3033,"Fri"
2020-09-05,0,NA
2020-09-06,0,NA
2020-09-07,3837,"Mon"
2020-09-08,3306,"Tue"
2020-09-09,3292,"Wed"
2020-09-10,2787,"Thu"
2020-09-11,2199,"Fri"
2020-09-12,306,"Sat"
2020-09-13,2894,"Sun"
2020-09-14,2028,"Mon"
2020-09-15,2698,"Tue"
2020-09-16,3045,"Wed"
2020-09-17,2919,"Thu"
2020-09-18,3525,"Fri"
2020-09-19,0,NA
2020-09-20,1,"Sun"
2020-09-21,4389,"Mon"
2020-09-22,3069,"Tue"
2020-09-23,3234,"Wed"
2020-09-24,3186,"Thu"
2020-09-25,3580,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4222,"Mon"
2020-09-29,2860,"Tue"
2020-09-30,3258,"Wed"
2020-10-01,3784,"Thu"
2020-10-02,3945,"Fri"
2020-10-03,1264,"Sat"
2020-10-04,1770,"Sun"
2020-10-05,3462,"Mon"
2020-10-06,3193,"Tue"
2020-10-07,3135,"Wed"
2020-10-08,2906,"Thu"
2020-10-09,2832,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3561,"Mon"
2020-10-13,3571,"Tue"
2020-10-14,3634,"Wed"
2020-10-15,3454,"Thu"
2020-10-16,2722,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3465,"Mon"
2020-10-20,2622,"Tue"
2020-10-21,3012,"Wed"
2020-10-22,3157,"Thu"
2020-10-23,3177,"Fri"
2020-10-24,1,"Sat"
2020-10-25,0,NA
2020-10-26,3478,"Mon"
2020-10-27,3676,"Tue"
2020-10-28,3006,"Wed"
2020-10-29,3025,"Thu"
2020-10-30,2813,"Fri"
2020-10-31,1,"Sat"
2020-11-01,20,"Sun"
2020-11-02,4317,"Mon"
2020-11-03,3109,"Tue"
2020-11-04,3540,"Wed"
2020-11-05,3029,"Thu"
2020-11-06,2492,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3463,"Mon"
2020-11-10,2948,"Tue"
2020-11-11,3517,"Wed"
2020-11-12,2844,"Thu"
2020-11-13,3359,"Fri"
2020-11-14,0,NA
2020-11-15,3822,"Sun"
2020-11-16,2745,"Mon"
2020-11-17,2726,"Tue"
2020-11-18,3005,"Wed"
2020-11-19,3123,"Thu"
2020-11-20,3083,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3209,"Mon"
2020-11-24,3074,"Tue"
2020-11-25,2583,"Wed"
2020-11-26,2607,"Thu"
2020-11-27,2974,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3298,"Mon"
