"date","ni","day"
2020-07-30,3145,"Thu"
2020-07-31,2434,"Fri"
2020-08-01,487,"Sat"
2020-08-02,1985,"Sun"
2020-08-03,2374,"Mon"
2020-08-04,2969,"Tue"
2020-08-05,3276,"Wed"
2020-08-06,2758,"Thu"
2020-08-07,2488,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3314,"Mon"
2020-08-11,3091,"Tue"
2020-08-12,2759,"Wed"
2020-08-13,2838,"Thu"
2020-08-14,2721,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1604,"Sun"
2020-08-17,3167,"Mon"
2020-08-18,3164,"Tue"
2020-08-19,3063,"Wed"
2020-08-20,2781,"Thu"
2020-08-21,2891,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3689,"Mon"
2020-08-25,3131,"Tue"
2020-08-26,2857,"Wed"
2020-08-27,2817,"Thu"
2020-08-28,2606,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3371,"Mon"
2020-09-01,2755,"Tue"
2020-09-02,2771,"Wed"
2020-09-03,3089,"Thu"
2020-09-04,2974,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3764,"Mon"
2020-09-08,3229,"Tue"
2020-09-09,3228,"Wed"
2020-09-10,2737,"Thu"
2020-09-11,2157,"Fri"
2020-09-12,303,"Sat"
2020-09-13,2850,"Sun"
2020-09-14,1985,"Mon"
2020-09-15,2641,"Tue"
2020-09-16,2992,"Wed"
2020-09-17,2874,"Thu"
2020-09-18,3470,"Fri"
2020-09-19,0,NA
2020-09-20,1,"Sun"
2020-09-21,4332,"Mon"
2020-09-22,3022,"Tue"
2020-09-23,3188,"Wed"
2020-09-24,3140,"Thu"
2020-09-25,3522,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4143,"Mon"
2020-09-29,2812,"Tue"
2020-09-30,3209,"Wed"
2020-10-01,3725,"Thu"
2020-10-02,3885,"Fri"
2020-10-03,1248,"Sat"
2020-10-04,1744,"Sun"
2020-10-05,3405,"Mon"
2020-10-06,3150,"Tue"
2020-10-07,3080,"Wed"
2020-10-08,2850,"Thu"
2020-10-09,2788,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3508,"Mon"
2020-10-13,3506,"Tue"
2020-10-14,3581,"Wed"
2020-10-15,3408,"Thu"
2020-10-16,2677,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3397,"Mon"
2020-10-20,2578,"Tue"
2020-10-21,2970,"Wed"
2020-10-22,3105,"Thu"
2020-10-23,3136,"Fri"
2020-10-24,1,"Sat"
2020-10-25,0,NA
2020-10-26,3427,"Mon"
2020-10-27,3605,"Tue"
2020-10-28,2959,"Wed"
2020-10-29,2969,"Thu"
2020-10-30,2756,"Fri"
2020-10-31,1,"Sat"
2020-11-01,21,"Sun"
2020-11-02,4242,"Mon"
2020-11-03,3047,"Tue"
2020-11-04,3481,"Wed"
2020-11-05,2970,"Thu"
2020-11-06,2452,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3398,"Mon"
2020-11-10,2910,"Tue"
2020-11-11,3473,"Wed"
2020-11-12,2811,"Thu"
2020-11-13,3310,"Fri"
2020-11-14,0,NA
2020-11-15,3765,"Sun"
2020-11-16,2697,"Mon"
2020-11-17,2678,"Tue"
2020-11-18,2972,"Wed"
2020-11-19,3083,"Thu"
2020-11-20,3038,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3160,"Mon"
2020-11-24,3053,"Tue"
2020-11-25,2553,"Wed"
2020-11-26,2572,"Thu"
2020-11-27,2932,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3262,"Mon"
2020-12-01,3237,"Tue"
2020-12-02,3182,"Wed"
2020-12-03,2612,"Thu"
2020-12-04,2613,"Fri"
2020-12-05,0,NA
2020-12-06,2965,"Sun"
2020-12-07,2692,"Mon"
2020-12-08,2414,"Tue"
2020-12-09,3130,"Wed"
2020-12-10,2085,"Thu"
2020-12-11,2518,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2924,"Mon"
2020-12-15,2417,"Tue"
2020-12-16,2680,"Wed"
2020-12-17,2776,"Thu"
2020-12-18,2520,"Fri"
2020-12-19,272,"Sat"
2020-12-20,0,NA
2020-12-21,2958,"Mon"
2020-12-22,2302,"Tue"
2020-12-23,2317,"Wed"
2020-12-24,1563,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2579,"Tue"
2020-12-30,3198,"Wed"
