"","Aug 2021","Aug 2020","% change 2021-2020","Aug 2019","% change 2021-2019"
"Median",2396,2759,-13.1569409206234,1648,45.3883495145631
"Mean",1878.64516129032,2136.64516129032,-12.075004529259,1262.38709677419,48.8168855726478
