"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2520,2026,2188,2844,2910,2566,2968,2507,2582
"Mean",2052.74384236453,1615.42682926829,1843.54368932039,2339.5564516129,2234.55555555556,2100,2362.67010309278,2027.78723404255,2109.62172284644
