"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2628,2234.5,2240,2866.5,2926,2588.5,2984,2541,2708
"Mean",2114.4478976234,1821.08536585366,1874.34951456311,2357.35483870968,2248.11111111111,2114.66666666667,2372.69072164948,2131.43037974684,2180.74146341463
