"","Nov 2021","Nov 2020","% change 2021-2020","Nov 2019","% change 2021-2019"
"Median",2671,2881.5,-7.30522297414541,1617.5,65.1313755795981
"Mean",2186.56666666667,2233.6,-2.10571872015282,1311.63333333333,66.7056341965488
