"date","ni","day"
2020-07-30,3037,"Thu"
2020-07-31,2355,"Fri"
2020-08-01,477,"Sat"
2020-08-02,1918,"Sun"
2020-08-03,2305,"Mon"
2020-08-04,2893,"Tue"
2020-08-05,3190,"Wed"
2020-08-06,2683,"Thu"
2020-08-07,2426,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3206,"Mon"
2020-08-11,3012,"Tue"
2020-08-12,2684,"Wed"
2020-08-13,2757,"Thu"
2020-08-14,2659,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1571,"Sun"
2020-08-17,3087,"Mon"
2020-08-18,3075,"Tue"
2020-08-19,3007,"Wed"
2020-08-20,2706,"Thu"
2020-08-21,2821,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3587,"Mon"
2020-08-25,3058,"Tue"
2020-08-26,2785,"Wed"
2020-08-27,2753,"Thu"
2020-08-28,2546,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3298,"Mon"
2020-09-01,2697,"Tue"
2020-09-02,2711,"Wed"
2020-09-03,3004,"Thu"
2020-09-04,2923,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3687,"Mon"
2020-09-08,3186,"Tue"
2020-09-09,3175,"Wed"
2020-09-10,2685,"Thu"
2020-09-11,2125,"Fri"
2020-09-12,295,"Sat"
2020-09-13,2780,"Sun"
2020-09-14,1946,"Mon"
2020-09-15,2595,"Tue"
2020-09-16,2937,"Wed"
2020-09-17,2827,"Thu"
2020-09-18,3419,"Fri"
2020-09-19,0,NA
2020-09-20,2,"Sun"
2020-09-21,4259,"Mon"
2020-09-22,2964,"Tue"
2020-09-23,3137,"Wed"
2020-09-24,3100,"Thu"
2020-09-25,3475,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4062,"Mon"
2020-09-29,2777,"Tue"
2020-09-30,3168,"Wed"
2020-10-01,3673,"Thu"
2020-10-02,3836,"Fri"
2020-10-03,1239,"Sat"
2020-10-04,1712,"Sun"
2020-10-05,3353,"Mon"
2020-10-06,3108,"Tue"
2020-10-07,3042,"Wed"
2020-10-08,2795,"Thu"
2020-10-09,2740,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3441,"Mon"
2020-10-13,3451,"Tue"
2020-10-14,3528,"Wed"
2020-10-15,3365,"Thu"
2020-10-16,2639,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3350,"Mon"
2020-10-20,2535,"Tue"
2020-10-21,2919,"Wed"
2020-10-22,3064,"Thu"
2020-10-23,3072,"Fri"
2020-10-24,2,"Sat"
2020-10-25,0,NA
2020-10-26,3351,"Mon"
2020-10-27,3552,"Tue"
2020-10-28,2913,"Wed"
2020-10-29,2903,"Thu"
2020-10-30,2722,"Fri"
2020-10-31,1,"Sat"
2020-11-01,22,"Sun"
2020-11-02,4179,"Mon"
2020-11-03,3009,"Tue"
2020-11-04,3448,"Wed"
2020-11-05,2945,"Thu"
2020-11-06,2423,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3342,"Mon"
2020-11-10,2873,"Tue"
2020-11-11,3423,"Wed"
2020-11-12,2777,"Thu"
2020-11-13,3269,"Fri"
2020-11-14,0,NA
2020-11-15,3711,"Sun"
