"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2395.5,1802,1585,2767,2873,2536,2940,2557.5,2613.5
"Mean",1958.01714285714,1464.17073170732,1389.79611650485,2282.99193548387,2206,2072.72222222222,2339.16494845361,2053.36206896552,2097.37430167598
