"date","ni","day"
2020-07-30,3091,"Thu"
2020-07-31,2387,"Fri"
2020-08-01,483,"Sat"
2020-08-02,1945,"Sun"
2020-08-03,2332,"Mon"
2020-08-04,2920,"Tue"
2020-08-05,3229,"Wed"
2020-08-06,2721,"Thu"
2020-08-07,2441,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3264,"Mon"
2020-08-11,3047,"Tue"
2020-08-12,2719,"Wed"
2020-08-13,2797,"Thu"
2020-08-14,2695,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1592,"Sun"
2020-08-17,3133,"Mon"
2020-08-18,3114,"Tue"
2020-08-19,3031,"Wed"
2020-08-20,2749,"Thu"
2020-08-21,2855,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3642,"Mon"
2020-08-25,3087,"Tue"
2020-08-26,2822,"Wed"
2020-08-27,2781,"Thu"
2020-08-28,2576,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3331,"Mon"
2020-09-01,2721,"Tue"
2020-09-02,2742,"Wed"
2020-09-03,3048,"Thu"
2020-09-04,2954,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3727,"Mon"
2020-09-08,3206,"Tue"
2020-09-09,3197,"Wed"
2020-09-10,2711,"Thu"
2020-09-11,2135,"Fri"
2020-09-12,297,"Sat"
2020-09-13,2804,"Sun"
2020-09-14,1962,"Mon"
2020-09-15,2605,"Tue"
2020-09-16,2953,"Wed"
2020-09-17,2844,"Thu"
2020-09-18,3433,"Fri"
2020-09-19,0,NA
2020-09-20,2,"Sun"
2020-09-21,4283,"Mon"
2020-09-22,2978,"Tue"
2020-09-23,3154,"Wed"
2020-09-24,3112,"Thu"
2020-09-25,3492,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4097,"Mon"
2020-09-29,2791,"Tue"
2020-09-30,3183,"Wed"
2020-10-01,3698,"Thu"
2020-10-02,3858,"Fri"
2020-10-03,1240,"Sat"
2020-10-04,1721,"Sun"
2020-10-05,3369,"Mon"
2020-10-06,3118,"Tue"
2020-10-07,3053,"Wed"
2020-10-08,2808,"Thu"
2020-10-09,2749,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3459,"Mon"
2020-10-13,3465,"Tue"
2020-10-14,3543,"Wed"
2020-10-15,3374,"Thu"
2020-10-16,2653,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3361,"Mon"
2020-10-20,2547,"Tue"
2020-10-21,2931,"Wed"
2020-10-22,3073,"Thu"
2020-10-23,3084,"Fri"
2020-10-24,2,"Sat"
2020-10-25,0,NA
2020-10-26,3371,"Mon"
2020-10-27,3565,"Tue"
2020-10-28,2930,"Wed"
2020-10-29,2930,"Thu"
2020-10-30,2729,"Fri"
2020-10-31,1,"Sat"
2020-11-01,22,"Sun"
2020-11-02,4199,"Mon"
2020-11-03,3025,"Tue"
2020-11-04,3458,"Wed"
2020-11-05,2956,"Thu"
2020-11-06,2430,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3360,"Mon"
2020-11-10,2889,"Tue"
2020-11-11,3442,"Wed"
2020-11-12,2787,"Thu"
2020-11-13,3280,"Fri"
2020-11-14,0,NA
2020-11-15,3726,"Sun"
2020-11-16,2673,"Mon"
2020-11-17,2655,"Tue"
2020-11-18,2950,"Wed"
2020-11-19,3055,"Thu"
2020-11-20,3013,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3126,"Mon"
2020-11-24,3024,"Tue"
2020-11-25,2530,"Wed"
2020-11-26,2548,"Thu"
2020-11-27,2903,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3235,"Mon"
2020-12-01,3223,"Tue"
2020-12-02,3155,"Wed"
2020-12-03,2593,"Thu"
2020-12-04,2592,"Fri"
2020-12-05,0,NA
2020-12-06,2936,"Sun"
2020-12-07,2670,"Mon"
2020-12-08,2394,"Tue"
2020-12-09,3093,"Wed"
2020-12-10,2060,"Thu"
2020-12-11,2496,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2886,"Mon"
2020-12-15,2404,"Tue"
2020-12-16,2663,"Wed"
2020-12-17,2746,"Thu"
2020-12-18,2498,"Fri"
2020-12-19,269,"Sat"
2020-12-20,0,NA
2020-12-21,2932,"Mon"
2020-12-22,2286,"Tue"
2020-12-23,2296,"Wed"
2020-12-24,1557,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2553,"Tue"
2020-12-30,3172,"Wed"
2020-12-31,2356,"Thu"
2021-01-01,65,"Fri"
2021-01-02,109,"Sat"
2021-01-03,0,NA
2021-01-04,3718,"Mon"
2021-01-05,3327,"Tue"
2021-01-06,3632,"Wed"
2021-01-07,2361,"Thu"
2021-01-08,2843,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3616,"Mon"
2021-01-12,3008,"Tue"
2021-01-13,3143,"Wed"
2021-01-14,2809,"Thu"
2021-01-15,2656,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4356,"Mon"
2021-01-19,3050,"Tue"
2021-01-20,3392,"Wed"
2021-01-21,2792,"Thu"
2021-01-22,2240,"Fri"
2021-01-23,0,NA
2021-01-24,53,"Sun"
2021-01-25,4343,"Mon"
2021-01-26,3008,"Tue"
2021-01-27,3285,"Wed"
2021-01-28,2674,"Thu"
2021-01-29,2683,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3646,"Mon"
2021-02-02,3234,"Tue"
2021-02-03,3369,"Wed"
2021-02-04,2915,"Thu"
