"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2442,1813,1609,2794,2889,2545,2946,2531.5,2584
"Mean",1978.94776119403,1472.53658536585,1538.40776699029,2307.08870967742,2215.25925925926,2080.83333333333,2345.79381443299,2037.34653465347,2094.06707317073
