"","Sept 2021","Sept 2020","% change 2021-2020","Sept 2019","% change 2021-2019"
"Median",2663.5,2842.5,-6.29727352682498,1796.5,48.2605065404954
"Mean",2132.6,2358.03333333333,-9.56022674262451,1395.9,52.77598681854
