"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2486.5,1828,1665,2818.5,2898,2553,2957,2510,2583.5
"Mean",2005.578125,1480.96341463415,1696.44660194175,2323.26612903226,2223.22222222222,2087.83333333333,2352.14432989691,2030.30813953488,2098.30201342282
