"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2320,1787,1568,2642.5,2845,2521.5,2922,2503,2559
"Mean",1906.03967168263,1444.9512195122,1326.11650485437,2129.87096774194,2189.37037037037,2060.33333333333,2327.59793814433,2008.0608365019,2059.68894601542
