"","Dec 2021","Dec 2020","% change 2021-2020","Dec 2019","% change 2021-2019"
"Median",2114,2385,-11.3626834381551,1385,52.6353790613718
"Mean",1713.25806451613,1847.67741935484,-7.27504451971088,1022,67.6377753929676
