"","June 2021","June 2020","% change 2021-2020","June 2019","% change 2021-2019"
"Median",2503.5,2790.5,-10.2848951800753,1751.5,42.9346274621753
"Mean",2036.03333333333,2482.9,-17.9977714232014,1320.2,54.2215825884967
