"Total","BeforeLD1","DuringLD1","AfterLD1","DuringLD2","AfterLD2","DuringLD3","AfterLD3","since first vaccine"
2251.5,1770,1551,2232,2823,2507,2907,2503,2551
1880.60892388451,1429.65853658537,1315.11650485437,1977.48387096774,2173.22222222222,2048.27777777778,2316.90721649485,2009.94217687075,2054.11666666667
