"Jan 2022","Jan 2021","% change 2022-2021","Jan 2020","% change 2022-2020","Jan 2019","% change 2022-2019"
2701,2641,2.2718667171526,1618,66.9344870210136,1484,82.0080862533693
2071,2010.90322580645,2.9885463120408,1391.93548387097,48.7856315179606,1150.90322580645,79.9456247547508
