"","February 2021","February 2020","% change 2021-2020","February 2019","% change 2021-2019"
"Median",3086,2579,19.6587824738271,1978,56.0161779575329
"Mean",2595.18518518519,1976.1724137931,31.3238241294916,1552.5,67.1616866463887
