"week","mortgage","ni2021","ni2020","ni2019","ratio21to19","ratio20to19","ratio21to20"
1,0,23358,14299,8474,2.75643143733774,1.68739674297852,1.63354080704944
1,1,24,267,380,0.0631578947368421,0.702631578947368,0.0898876404494382
2,0,25868,20212,12395,2.08697055264219,1.63065752319484,1.27983376212151
2,1,60,467,722,0.0831024930747922,0.646814404432133,0.12847965738758
3,0,29384,21794,13010,2.25857033051499,1.67517294388932,1.3482609892631
3,1,26,301,745,0.0348993288590604,0.404026845637584,0.0863787375415282
4,0,27808,20861,15270,1.82108709888671,1.36614276358874,1.33301375772973
4,1,16,576,547,0.0292504570383912,1.05301645338208,0.0277777777777778
5,0,27044,19252,13845,1.95334055615746,1.39053810039726,1.40473717016414
5,1,33,336,966,0.0341614906832298,0.347826086956522,0.0982142857142857
6,0,31794,21226,15442,2.05893019038985,1.3745628804559,1.49787995854141
6,1,15,611,1018,0.0147347740667976,0.600196463654224,0.0245499181669394
7,0,28191,20969,14177,1.98850250405587,1.47908584326726,1.34441318136296
7,1,4,509,745,0.00536912751677852,0.683221476510067,0.00785854616895874
8,0,32291,19821,14097,2.29062921188905,1.40604383911471,1.62913071994349
8,1,NA,533,758,NA,0.703166226912929,NA
