"","Total","Before","During","After","During","After","During Tier-4","During","since first vaccine"
"Median",2671,2323,2290,2921,2978,2624.5,2873,2999.5,2740
"Mean",2135.93632075472,1896.0487804878,1926.66990291262,2407.8064516129,2289.7037037037,2144.44444444444,2181.77142857143,2427.05555555556,2157.85365853659
