"","July 2021","July 2020","% change 2021-2020","July 2019","% change 2021-2019"
"Median",2492,2826,-11.8188251946214,1692,47.2813238770686
"Mean",1893.29032258065,2522.25806451613,-24.9366926716972,1451.77419354839,30.4121764248417
