"Total","BeforeLD1","DuringLD1","AfterLD1","DuringLD2","AfterLD2","DuringLD3","AfterLD3","since first vaccine"
2205,1673.5,1524,2040.5,2733,2442.5,2880,2551,2586
1855.82947624848,1361.92682926829,1295.58252427184,1677.6935483871,2099.59259259259,1998.72222222222,2295.0618556701,2073.08781869688,2088.58872651357
