"","Total","Before","During","After","During","After","During","After","since first vaccine"
"Median",2572.5,2151,2223,2851.5,2916,2573.5,2978,2516.5,2611
"Mean",2078.1678200692,1701.25609756098,1858.2427184466,2346.83870967742,2239.88888888889,2105.5,2365.19587628866,2063.36363636364,2138.52966101695
