"date","ni","day"
2020-08-03,1017,"Mon"
2020-08-04,1247,"Tue"
2020-08-05,1376,"Wed"
2020-08-06,1208,"Thu"
2020-08-07,1101,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,1408,"Mon"
2020-08-11,1412,"Tue"
2020-08-12,1273,"Wed"
2020-08-13,1205,"Thu"
2020-08-14,1171,"Fri"
2020-08-15,2,"Sat"
2020-08-16,684,"Sun"
2020-08-17,1363,"Mon"
2020-08-18,1381,"Tue"
2020-08-19,1272,"Wed"
2020-08-20,1160,"Thu"
2020-08-21,1229,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,1679,"Mon"
2020-08-25,1336,"Tue"
2020-08-26,1275,"Wed"
2020-08-27,1254,"Thu"
2020-08-28,1134,"Fri"
2020-08-29,14,"Sat"
2020-08-30,0,NA
2020-08-31,1444,"Mon"
2020-09-01,1167,"Tue"
2020-09-02,1251,"Wed"
2020-09-03,1334,"Thu"
2020-09-04,1308,"Fri"
2020-09-05,0,NA
2020-09-06,0,NA
2020-09-07,1633,"Mon"
2020-09-08,1384,"Tue"
2020-09-09,1434,"Wed"
2020-09-10,1187,"Thu"
2020-09-11,950,"Fri"
2020-09-12,127,"Sat"
2020-09-13,1241,"Sun"
2020-09-14,870,"Mon"
2020-09-15,1229,"Tue"
2020-09-16,1264,"Wed"
2020-09-17,1240,"Thu"
2020-09-18,1460,"Fri"
2020-09-19,0,NA
2020-09-20,1,"Sun"
2020-09-21,1872,"Mon"
2020-09-22,1362,"Tue"
2020-09-23,1467,"Wed"
2020-09-24,1438,"Thu"
2020-09-25,1614,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,1812,"Mon"
2020-09-29,1253,"Tue"
2020-09-30,1451,"Wed"
2020-10-01,1651,"Thu"
2020-10-02,1666,"Fri"
2020-10-03,510,"Sat"
2020-10-04,764,"Sun"
2020-10-05,1536,"Mon"
2020-10-06,1368,"Tue"
2020-10-07,1357,"Wed"
2020-10-08,1183,"Thu"
2020-10-09,1216,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,1567,"Mon"
2020-10-13,1553,"Tue"
2020-10-14,1592,"Wed"
2020-10-15,1483,"Thu"
2020-10-16,1200,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,1471,"Mon"
2020-10-20,1161,"Tue"
2020-10-21,1286,"Wed"
2020-10-22,1357,"Thu"
2020-10-23,1419,"Fri"
2020-10-24,1,"Sat"
2020-10-25,0,NA
2020-10-26,1444,"Mon"
2020-10-27,1572,"Tue"
2020-10-28,1321,"Wed"
2020-10-29,1260,"Thu"
2020-10-30,1289,"Fri"
2020-10-31,0,NA
2020-11-01,9,"Sun"
2020-11-02,1889,"Mon"
2020-11-03,1346,"Tue"
2020-11-04,1534,"Wed"
2020-11-05,1298,"Thu"
2020-11-06,1066,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,1507,"Mon"
2020-11-10,1295,"Tue"
2020-11-11,1446,"Wed"
2020-11-12,1202,"Thu"
2020-11-13,1426,"Fri"
2020-11-14,0,NA
2020-11-15,1680,"Sun"
2020-11-16,1206,"Mon"
2020-11-17,1176,"Tue"
2020-11-18,1316,"Wed"
2020-11-19,1321,"Thu"
2020-11-20,1351,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,1375,"Mon"
2020-11-24,1335,"Tue"
2020-11-25,1148,"Wed"
2020-11-26,1129,"Thu"
2020-11-27,1260,"Fri"
2020-11-28,3,"Sat"
2020-11-29,0,NA
2020-11-30,1403,"Mon"
2020-12-01,1467,"Tue"
2020-12-02,1388,"Wed"
2020-12-03,1153,"Thu"
2020-12-04,1151,"Fri"
2020-12-05,0,NA
2020-12-06,1309,"Sun"
2020-12-07,1168,"Mon"
2020-12-08,1069,"Tue"
2020-12-09,1344,"Wed"
2020-12-10,890,"Thu"
2020-12-11,1070,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,1287,"Mon"
2020-12-15,1077,"Tue"
2020-12-16,1186,"Wed"
2020-12-17,1217,"Thu"
2020-12-18,1055,"Fri"
2020-12-19,123,"Sat"
2020-12-20,0,NA
2020-12-21,1296,"Mon"
2020-12-22,961,"Tue"
2020-12-23,1018,"Wed"
2020-12-24,696,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,1122,"Tue"
2020-12-30,1384,"Wed"
2020-12-31,1029,"Thu"
2021-01-01,19,"Fri"
2021-01-02,52,"Sat"
